Name,Team,Age,Yards,Position,Attempts,YardsPerGame,Fumbles,Touchdowns
Christian Kirk,JAX,28,0,WR,0,0.0,0,0
Josh Reynolds,JAX,29,0,WR,0,0.0,0,0
Brenton Strange,JAX,24,0,TE,0,0.0,1,0
Austin Trammell,JAX,26,0,WR,0,0.0,1,0
Parker Washington,JAX,22,0,WR,0,0.0,2,0
Kareem Hunt,KAN,29,728,RB,200,56.0,0,7
Isiah Pacheco,KAN,25,310,RB,83,44.3,0,1
Patrick Mahomes,KAN,29,307,QB,58,19.2,2,2
Carson Steele,KAN,22,183,RB,56,10.8,3,0
Xavier Worthy,KAN,21,104,WR,20,6.1,0,3
Samaje Perine,KAN,29,92,RB,20,5.4,0,1
Mecole Hardman,KAN,26,62,WR,5,5.2,0,1
Chris Oladokun,KAN,27,5,QB,1,5.0,1,0
Jaden Hicks,KAN,22,1,DB,1,0.1,0,0
Travis Kelce,KAN,35,1,TE,1,0.1,2,0
Rashee Rice,KAN,24,1,WR,1,0.3,0,0
Carson Wentz,KAN,32,0,QB,3,0.0,0,0
Marquise Brown,KAN,27,0,WR,0,0.0,0,0
Mike Caliendo,KAN,27,0,OL,0,0.0,0,0
Baylor Cupp,KAN,24,0,TE,0,0.0,0,0
Jody Fortson,KAN,29,0,TE,0,0.0,0,0
Peyton Hendershot,KAN,25,0,TE,0,0.0,0,0
DeAndre Hopkins,KAN,32,0,WR,0,0.0,0,0
Skyy Moore,KAN,24,0,WR,0,0.0,0,0
Wanya Morris,KAN,24,0,OL,0,0.0,0,0
Nikko Remigio,KAN,25,0,WR,0,0.0,1,0
Justyn Ross,KAN,25,0,WR,0,0.0,0,0
JuJu Smith-Schuster,KAN,28,0,WR,0,0.0,0,0
Justin Watson,KAN,29,0,WR,0,0.0,0,0
Jared Wiley,KAN,24,0,TE,0,0.0,0,0
Noah Gray,KAN,25,-4,TE,1,-0.2,0,0
J.K. Dobbins,LAC,26,905,RB,195,69.6,0,9
Gus Edwards,LAC,29,365,RB,101,33.2,0,4
Justin Herbert,LAC,26,306,QB,69,18.0,6,2
Kimani Vidal,LAC,23,155,RB,43,15.5,1,0
Hassan Haskins,LAC,25,89,RB,34,5.2,1,2
Derius Davis,LAC,24,39,WR,12,2.6,3,0
Taylor Heinicke,LAC,31,20,QB,2,5.0,0,0
Quentin Johnston,LAC,23,6,WR,3,0.4,0,0
JK Scott,LAC,29,0,P,1,0.0,1,0
DJ Chark,LAC,28,0,WR,0,0.0,0,0
Will Dissly,LAC,28,0,TE,0,0.0,0,0
Simi Fehoko,LAC,27,0,WR,0,0.0,0,0
Tucker Fisk,LAC,25,0,TE,0,0.0,0,0
Hayden Hurst,LAC,31,0,TE,0,0.0,0,0
Scott Matlock,LAC,24,0,DL,0,0.0,0,0
Ladd McConkey,LAC,23,0,WR,0,0.0,2,0
Josh Palmer,LAC,25,0,WR,0,0.0,0,0
Stone Smartt,LAC,26,0,TE,0,0.0,1,0
Eric Tomlinson,LAC,32,0,TE,0,0.0,0,0
Jalen Reagor,LAC,25,-3,WR,3,-0.4,1,0
Kyren Williams,LAR,24,1299,RB,316,81.2,5,14
Blake Corum,LAR,24,207,RB,58,12.2,0,0
Ronnie Rivers,LAR,25,99,RB,22,5.8,0,0
Puka Nacua,LAR,23,46,WR,11,4.2,0,1
Matthew Stafford,LAR,36,41,QB,30,2.6,6,0
Xavier Smith,LAR,27,36,WR,4,2.4,0,0
Jordan Whittington,LAR,24,12,WR,2,0.8,0,0
Cooper Kupp,LAR,31,10,WR,2,0.8,1,0
Tutu Atwell,LAR,25,7,WR,2,0.4,0,0
Jimmy Garoppolo,LAR,33,5,QB,2,5.0,0,0
Cody Schrader,LAR,25,3,RB,1,3.0,0,0
Davis Allen,LAR,23,0,TE,0,0.0,0,0
Tyler Higbee,LAR,31,0,TE,0,0.0,0,0
Tyler Johnson,LAR,26,0,WR,0,0.0,0,0
Hunter Long,LAR,26,0,TE,0,0.0,0,0
Colby Parkinson,LAR,25,0,TE,0,0.0,0,0
Demarcus Robinson,LAR,30,0,WR,0,0.0,0,0
Alexander Mattison,LVR,26,420,RB,132,30.0,1,4
Ameer Abdullah,LVR,31,311,RB,66,19.4,2,2
Zamir White,LVR,25,183,RB,65,22.9,2,1
Sincere McCormick,LVR,24,183,RB,39,36.6,0,0
Gardner Minshew II,LVR,28,58,QB,19,5.8,6,0
Tre Tucker,LVR,23,44,WR,9,2.6,0,1
Desmond Ridder,LVR,25,36,QB,9,6.0,3,0
DJ Turner,LVR,27,33,WR,5,2.8,1,1
Aidan O'Connell,LVR,26,30,QB,21,3.3,2,1
Jakobi Meyers,LVR,28,23,WR,2,1.5,0,0
Brock Bowers,LVR,22,13,TE,5,0.8,0,0
Chris Collier,LVR,24,12,RB,5,4.0,0,0
Tyreik McAllister,LVR,26,11,WR,2,3.7,0,0
